stock_date,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_0_8,is_high_gt_0_9,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2024-05-31 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-06-03 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-06-04 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
2024-06-05 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-06-06 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-06-07 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-06-10 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-06-11 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
2024-06-12 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-06-13 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-06-14 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-06-17 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-06-18 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-06-20 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-06-21 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-06-24 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-06-25 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-06-26 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
2024-06-27 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-06-28 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-07-01 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-07-02 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-03 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-07-05 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-08 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-07-09 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-07-10 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-11 04:00:00+00:00,1.0,1.0,1.0,,,,,,,,,,
2024-07-12 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-15 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-07-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
2024-07-17 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-07-18 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-07-19 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-07-22 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-07-23 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-07-24 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-07-25 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-26 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-07-29 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-07-30 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-07-31 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-01 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-02 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-05 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-06 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-07 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-08 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-09 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-12 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
2024-08-13 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-14 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-08-15 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-19 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-20 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-08-21 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-08-22 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
